"region","format","name","version","allowProvisionedManagedCommitment","area","assistants","audio","chatCompletion","completion","embeddings","embeddingsMaxInputs","fineTune","FineTuneTokensMaxValue","FineTuneTokensMaxValuePerExample","imageGenerations","inference","jsonObjectResponse","jsonSchemaResponse","maxContextToken","maxOutputToken","maxStandardFinetuneDeploymentCount","maxTotalToken","realtime","responses","scaleType","search"
"australiaeast","AI21 Labs","AI21-Jamba-1.5-Large","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","AI21 Labs","AI21-Jamba-1.5-Large","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","AI21 Labs","AI21-Jamba-1.5-Mini","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","AI21 Labs","AI21-Jamba-1.5-Mini","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","AI21 Labs","AI21-Jamba-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","AI21 Labs","AI21-Jamba-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r","1",,,"true",,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r","1",,,"true",,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-08-2024","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-08-2024","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-plus","1",,,"true",,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-plus","1",,,"true",,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-plus-08-2024","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-command-r-plus-08-2024","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-embed-v3-english","1",,,,,,,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-embed-v3-english","1",,,,,,,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-embed-v3-multilingual","1",,,,,,,,,,,,,,,,,,,,,,,
"australiaeast","Cohere","Cohere-embed-v3-multilingual","1",,,,,,,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","2",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","2",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","3",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Core42","jais-30b-chat","3",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","DeepSeek","DeepSeek-R1","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","DeepSeek","DeepSeek-R1","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","DeepSeek","DeepSeek-V3","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","DeepSeek","DeepSeek-V3","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.2-11B-Vision-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.2-11B-Vision-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.2-90B-Vision-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.2-90B-Vision-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","1",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","2",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","2",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","3",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","3",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","4",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","4",,,,,"true",,,,,,,,,,,,,,,,,,
"australiaeast","Meta","Llama-3.3-70B-Instruct","5",,,,,"true",,,,,,,,,,,,,,,,,,
