"region","kind","modelFormat","modelName","modelVersion","lifecycle","default","skuName","deprecationDate "
"australiaeast","AIServices","AI21 Labs","AI21-Jamba-1.5-Large","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","AI21 Labs","AI21-Jamba-1.5-Mini","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","AI21 Labs","AI21-Jamba-Instruct","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Mistral AI","Codestral-2501","2","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-command-r","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-command-r-08-2024","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-command-r-plus","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-command-r-plus-08-2024","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-embed-v3-english","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","Cohere","Cohere-embed-v3-multilingual","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","OpenAI","dall-e-3","3.0","GenerallyAvailable","True","Standard","7/31/2025 9:00:00 AM"
"australiaeast","AIServices","DeepSeek","DeepSeek-R1","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","DeepSeek","DeepSeek-V3","1","Stable","False","GlobalStandard",
"australiaeast","AIServices","OpenAI","gpt-35-turbo","0125","GenerallyAvailable","True","Standard","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","0125","GenerallyAvailable","True","ProvisionedManaged","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","0125","GenerallyAvailable","True","GlobalBatch","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","0613","GenerallyAvailable","False","GlobalBatch","4/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","0613","GenerallyAvailable","False","Standard","2/13/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","1106","GenerallyAvailable","False","Standard","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","1106","GenerallyAvailable","False","ProvisionedManaged","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo","1106","GenerallyAvailable","False","GlobalBatch","5/31/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-35-turbo-16k","0613","GenerallyAvailable","True","Standard","4/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","0125-Preview","Preview","False","ProvisionedManaged","5/1/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","0613","GenerallyAvailable","True","GlobalBatch","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","0613","GenerallyAvailable","True","ProvisionedManaged","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","0613","GenerallyAvailable","True","Standard","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","1106-Preview","Preview","False","ProvisionedManaged","5/1/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","1106-Preview","Preview","False","Standard","5/1/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","turbo-2024-04-09","GenerallyAvailable","False","ProvisionedManaged","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","turbo-2024-04-09","GenerallyAvailable","False","GlobalBatch","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","turbo-2024-04-09","GenerallyAvailable","False","GlobalStandard","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4","vision-preview","Preview","False","Standard","5/1/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4-32k","0613","GenerallyAvailable","True","Standard","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4-32k","0613","GenerallyAvailable","True","ProvisionedManaged","6/6/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-05-13","GenerallyAvailable","True","GlobalProvisionedManaged","6/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-05-13","GenerallyAvailable","True","GlobalBatch","6/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-05-13","GenerallyAvailable","True","ProvisionedManaged","6/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-05-13","GenerallyAvailable","True","GlobalStandard","6/30/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-08-06","GenerallyAvailable","False","GlobalProvisionedManaged","8/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-08-06","GenerallyAvailable","False","GlobalBatch","8/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-08-06","GenerallyAvailable","False","GlobalStandard","8/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-08-06","GenerallyAvailable","False","ProvisionedManaged","8/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-11-20","GenerallyAvailable","False","ProvisionedManaged","12/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-11-20","GenerallyAvailable","False","GlobalStandard","12/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-11-20","GenerallyAvailable","False","GlobalBatch","12/20/2025 9:00:00 AM"
"australiaeast","AIServices","OpenAI","gpt-4o","2024-11-20","GenerallyAvailable","False","GlobalProvisionedManaged","12/20/2025 9:00:00 AM"
